aint	am not
arent	are not
em	them
cant	cannot
couldnt	could not
didnt	did not
doesnt	does not
dont	do not
hadnt	had not
hasnt	has not
hasnt	has not
havent	have not
im	i am
ive	i have
isnt	is not
its	it is
lets	let us
mightnt	might not
mustnt	must not
oclock	clock
shant	shall not
shouldnt	should not
thats	that is
theres	there is
theyd	they would
theyll	they will
theyre	they are
theyve	they have
wasnt	was not
weve	we have
werent	were not
whatll	what will
whatre	what are
whats	what is
whatve	what have
whenll	when will
whens	when is
wheres	where is
whod	who would
wholl	who will
whos	who is
whove	who have
wont	will not
wouldnt	would not
yall	you all
yaall	you all
youd	you would
youll	you will
youre	you are
youve	you have
