aren't	are not
can't	cannot
couldn't	could not
didn't	did not
doesn't	does not
don't	do not
hadn't	had not
hasn't	has not
haven't	have not
he'd	he would
he'll	he will
he's	he has
i'd	i would
i'll	i will
i'm	i am
i've	i have
isn't	is not
it's	it is
let's	let us
mightn't	might not
mustn't	must not
shan't	shall not
she'd	she would
she'll	she will
she's	she is
shouldn't	should not
that's	that is
there's	there is
they'd	they would
they'll	they will
they're	they are
they've	they have
we'd	we would
we're	we are
we've	we have
we'll	we will
weren't	were not
what'll	what will
what're	what are
what's	what is
what've	what have
where's	where is
who'd	who would
who'll	who will
who're	who are
who's	who is
who've	who have
won't	will not
wouldn't	would not
you'd	you would
you'll	you will
you're	you are
you've	you have
y'all	you all
ya'all	you all
o'clock	clock
ain't	am not
wasn't	was not
when's	when is
when'll	when will
card's	card is
someone's	someone is
barney's	barney
sarah's	sarah is
payment's	payment is
employee's	employee is
mine's	mine is
somebody's	somebody is
admiral's	admiral
transaction's	transaction is
ma'am	madam
person's	person is
everything's	everything is
grandfather's	grandfather
heaven's	heaven
app's	app
james'	james
zappo's	zappo
y'know	y
cashier's	cashier
member's	member
their's	their
how's	how
billing's	billing
h's	h
month's	month
what'd	what
could've	could
user's	user
saving's	saving
year's	year
mother's	mother
job's	job
months'	months
o'clok	o
else's	else
lady's	lady
man's	man
bank's	bank
night's	night
macy's	macy
that'll	that will
number's	number
buyer's	buyer
credit's	credit
today's	today
bill's	bill
employees'	employees
name's	name
why's	why is
chico's	chico
customer's	customer
brother's	brother
lewis's	lewis
should've	should
alice's	alice
costco's	costco
nobody's	nobody
time's	time
m's	m
why'd	why would
one's	one
that'd	that would
code's	code
got's	got
bloomingdale's	bloomingdale
friend's	friend
would've	would
banker's	banker
cathy's	cathy
something's	something
corporation's	corporation
vendor's	vendor
