filename	transcript	rutag	rutag
SynData23Nov_00579	Do you have a veteran discount?	Announcements_Military	Announcements_Military
SynData23Nov_00580	Can I get a discount for being a veteran?	Announcements_Military	Announcements_Military
SynData23Nov_00581	What is your military discount?	Announcements_Military	Announcements_Military
SynData23Nov_00582	Do you give veterans a discount?	Announcements_Military	Announcements_Military
SynData23Nov_00583	Discount for military	Announcements_Military	Announcements_Military
SynData23Nov_00584	Discount for veterans	Announcements_Military	Announcements_Military
SynData23Nov_00585	Discount for army 	Announcements_Military	Announcements_Military
SynData23Nov_00586	Do you guys do military discounts?	Announcements_Military	Announcements_Military
SynData23Nov_00587	Do you guys give military discounts? 	Announcements_Military	Announcements_Military
SynData23Nov_00588	Do you guys give discounts to military?	Announcements_Military	Announcements_Military
SynData23Nov_00589	Does Columbia offer military discounts?	Announcements_Military	Announcements_Military
SynData23Nov_00590	Does Columbia give military discounts?	Announcements_Military	Announcements_Military
SynData23Nov_00591	Does Columbia offer discounts to military?	Announcements_Military	Announcements_Military
SynData23Nov_00592	Does Columbia offer discounts to active duty military?	Announcements_Military	Announcements_Military
SynData23Nov_00593	Do you offer discounts to active duty military?	Announcements_Military	Announcements_Military
SynData23Nov_00594	Do you guys offer discounts to active duty military?	Announcements_Military	Announcements_Military
SynData23Nov_00595	Does Columbia offer discounts to active duty military?	Announcements_Military	Announcements_Military
SynData23Nov_00596	Do you offer discounts to veterans?	Announcements_Military	Announcements_Military
SynData23Nov_00597	Do you guys offer discounts to veterans?	Announcements_Military	Announcements_Military
SynData23Nov_00598	Does Columbia offer discounts to veterans?	Announcements_Military	Announcements_Military
SynData23Nov_00599	Do you offer veteran discounts?	Announcements_Military	Announcements_Military
SynData23Nov_00600	Do you offer discounts to military personnel?	Announcements_Military	Announcements_Military
SynData23Nov_00601	Do you guys offer discounts to military personnel?	Announcements_Military	Announcements_Military
SynData23Nov_00602	Does Columbia offer discounts to military personnel?	Announcements_Military	Announcements_Military
SynData23Nov_00603	Do I need to treat my boots?	Apparel_Care	Apparel_Care
SynData23Nov_00604	Are your boots pre treated?	Apparel_Care	Apparel_Care
SynData23Nov_00605	Am I going to need to treat my boots?	Apparel_Care	Apparel_Care
SynData23Nov_00606	Can I wash a fur hood?	Apparel_Care	Apparel_Care
SynData23Nov_00607	How do I wash a fur hood?	Apparel_Care	Apparel_Care
SynData23Nov_00608	How should I wash my pillow?	Apparel_Care	Apparel_Care
SynData23Nov_00609	Are your cotton products pre shrunk?	Apparel_Care	Apparel_Care
SynData23Nov_00610	Is my jacket stain proof?	Apparel_Care	Apparel_Care
SynData23Nov_00611	How do I care for my fleece jacket?	Apparel_Care	Apparel_Care
SynData23Nov_00612	What's the best way to wash my hiking boots?	Apparel_Care	Apparel_Care
SynData23Nov_00613	Will my jacket shrink if I wash it?	Apparel_Care	Apparel_Care
SynData23Nov_00614	How do I wash this jacket?	Apparel_Care	Apparel_Care
SynData23Nov_00615	How do I wash your down jackets?	Apparel_Care	Apparel_Care
SynData23Nov_00616	How do I wash a down jacket?	Apparel_Care	Apparel_Care
SynData23Nov_00617	Can I wash your down jackets?	Apparel_Care	Apparel_Care
SynData23Nov_00618	Can I wash a down jacket?	Apparel_Care	Apparel_Care
SynData23Nov_00619	Do I have to hand wash your jackets?	Apparel_Care	Apparel_Care
SynData23Nov_00620	Do I have to hand wash this jacket?	Apparel_Care	Apparel_Care
SynData23Nov_00621	Do I have to hand wash down jackets?	Apparel_Care	Apparel_Care
SynData23Nov_00622	Do I need to hand wash this jacket?	Apparel_Care	Apparel_Care
SynData23Nov_00623	Do I need to hand wash down jackets?	Apparel_Care	Apparel_Care
SynData23Nov_00624	How can I remove a stain from my jacket?	Apparel_Care	Apparel_Care
SynData23Nov_00625	How do I remove a stain from my jacket?	Apparel_Care	Apparel_Care
SynData23Nov_00626	How can I remove a stain from one of your jackets?	Apparel_Care	Apparel_Care
SynData23Nov_00627	How do I remove a stain from one of your jackets?	Apparel_Care	Apparel_Care
SynData23Nov_00628	How do I wash fleece?	Apparel_Care	Apparel_Care
SynData23Nov_00629	Do I have to hand wash fleece?	Apparel_Care	Apparel_Care
SynData23Nov_00630	How do I wash a fleece jacket?	Apparel_Care	Apparel_Care
SynData23Nov_00631	How do I wash my windbreaker?	Apparel_Care	Apparel_Care
SynData23Nov_00632	How do I wash my Columbia windbreaker?	Apparel_Care	Apparel_Care
SynData23Nov_00633	How do I wash one of your windbreakers?	Apparel_Care	Apparel_Care
SynData23Nov_00634	How do I care for my new windbreaker?	Apparel_Care	Apparel_Care
SynData23Nov_00635	Can I put this in a dryer?	Apparel_Care	Apparel_Care
SynData23Nov_00636	Can I put my windbreaker in a dryer?	Apparel_Care	Apparel_Care
